Id,Ref (haul identifier),Cruise,Station,Event,Netno,Nettype,Net mouthm2,Net mesh(mm),Trajectorycode,Date,Year,Month,Day,GMT time,Local time,Day/night,Latitude (dec degrees),Longitude (dec degrees),Minimumnet depth(m),Maximum net depth (m),Water depth mean within 10km range (m),Water depth range within 10km range (m),Mean climatological temperature within 10 km range,Bin size,Mean length (mm),Total krill in sample,Source,Comments
1,AAMBER65S,AAMBER,65,S,,RMT8,8,4.5,DO,07-Mar-87,1987,3,7,07:24:00,,D,-68.0101,78.0317,0,200,-500,325,-1.05,2,22,1,Hosie et al (1991) ANARE Research Notes 79,
2,AAMBER66S,AAMBER,66,S,,RMT8,8,4.5,DO,08-Mar-87,1987,3,8,01:18:00,,D,-66.8383,77.935,0,260,-288,236,-0.9,2,36.25,248,Hosie et al (1991) ANARE Research Notes 79,
3,AAMBER68T1,AAMBER,68,T1,,RMT8,8,4.5,TARGET,09-Mar-87,1987,3,9,04:55:00,,D,-66.8917,70.235,25,25,-452,740,-0.43,2,46.76,502,Hosie et al (1991) ANARE Research Notes 79,Krill measured based on subsample of 500 individuals as per methods section.
4,AAMBER68T2,AAMBER,68,T2,,RMT8,8,4.5,TARGET,09-Mar-87,1987,3,9,06:35:00,,D,-66.8983,70.245,130,130,-431,669,-0.44,2,38.38,121,Hosie et al (1991) ANARE Research Notes 79,
5,AAMBER70D,AAMBER,70,D,,RMT8,8,4.5,DO,09-Mar-87,1987,3,9,21:38:00,,N,-65.9633,67.9733,204,973,-2730,220,-0.06,2,24.95,57,Hosie et al (1991) ANARE Research Notes 79,
6,AAMBER70S,AAMBER,70,S,,RMT8,8,4.5,DO,09-Mar-87,1987,3,9,21:06:00,,N,-65.9483,67.9383,0,210,-2748,240,-0.06,2,28,1,Hosie et al (1991) ANARE Research Notes 79,
7,AAMBER71S,AAMBER,71,S,,RMT8,8,4.5,DO,10-Mar-87,1987,3,10,04:25:00,,D,-65.115,67.8583,0,200,-2738,224,0.33,2,39.71,509,Hosie et al (1991) ANARE Research Notes 79,
8,AAMBER73S,AAMBER,73,S,,RMT8,8,4.5,DO,13-Mar-87,1987,3,13,01:52:00,,D,-64.3467,62.9683,0,202,-3906,210,0.61,2,46.91,259,Hosie et al (1991) ANARE Research Notes 79,
9,AAMBER74S,AAMBER,74,S,,RMT8,8,4.5,DO,14-Mar-87,1987,3,14,15:52:00,,N,-64.9533,67.215,0,157,-3140,366,0.39,2,43,16,Hosie et al (1991) ANARE Research Notes 79,
10,AAMBER75S,AAMBER,75,S,,RMT8,8,4.5,DO,15-Mar-87,1987,3,15,05:19:00,,D,-65.17,72.9233,0,200,-3191,206,0.59,2,44.07,1189,Hosie et al (1991) ANARE Research Notes 79,
11,AAMBER78S,AAMBER,78,S,,RMT8,8,4.5,DO,16-Mar-87,1987,3,16,09:46:00,,D,-64.335,77.9967,0,200,-3531,100,0.64,2,47.92,51,Hosie et al (1991) ANARE Research Notes 79,
12,AAMBER79T1,AAMBER,79,T1,,RMT8,8,4.5,TARGET,16-Mar-87,1987,3,16,14:40:00,,N,-63.7601,78.0117,50,56,-3673,183,0.98,2,46.46,96,Hosie et al (1991) ANARE Research Notes 79,
13,AAMBER79T2,AAMBER,79,T2,,RMT8,8,4.5,TARGET,16-Mar-87,1987,3,16,16:00:00,,N,-63.765,78.0233,15,20,-3672,183,0.98,2,47.49,218,Hosie et al (1991) ANARE Research Notes 79,
14,AAMBER81S,AAMBER,81,S,,RMT8,8,4.5,DO,16-Mar-87,1987,3,16,22:53:00,,N,-62.665,77.9767,0,215,-3843,47,1.2,2,40.36,292,Hosie et al (1991) ANARE Research Notes 79,
15,AAMBER82D,AAMBER,82,D,,RMT8,8,4.5,DO,17-Mar-87,1987,3,17,04:56:00,,D,-61.8401,78.0133,200,845,-3408,326,1.25,2,33.43,609,Hosie et al (1991) ANARE Research Notes 79,
16,AAMBER82S,AAMBER,82,S,,RMT8,8,4.5,DO,17-Mar-87,1987,3,17,04:13:00,,D,-61.835,77.9683,0,210,-3409,282,1.25,2,34.32,31,Hosie et al (1991) ANARE Research Notes 79,
17,AAMBER83S,AAMBER,83,S,,RMT8,8,4.5,DO,18-Mar-87,1987,3,18,06:48:00,,D,-61.8367,73.0033,0,200,-4004,281,1.14,2,47,2,Hosie et al (1991) ANARE Research Notes 79,
18,AAMBER84S,AAMBER,84,S,,RMT8,8,4.5,DO,18-Mar-87,1987,3,18,22:53:00,,N,-62.6601,72.9783,0,200,-3896,78,1.08,2,48.27,15,Hosie et al (1991) ANARE Research Notes 79,
19,AAMBER85S,AAMBER,85,S,,RMT8,8,4.5,DO,19-Mar-87,1987,3,19,04:08:00,,D,-63.4933,73.0033,0,200,-3788,88,0.99,2,48.29,34,Hosie et al (1991) ANARE Research Notes 79,
20,AAMBER86S1,AAMBER,86,S1,,RMT8,8,4.5,DO,19-Mar-87,1987,3,19,09:11:00,,D,-64.3401,72.9601,0,200,-3564,158,0.84,2,46,1,Hosie et al (1991) ANARE Research Notes 79,
21,AAMBER86S2,AAMBER,86,S2,,RMT8,8,4.5,DO,19-Mar-87,1987,3,19,10:04:00,,D,-64.3567,72.9801,0,200,-3574,157,0.84,2,48,1,Hosie et al (1991) ANARE Research Notes 79,
22,AAMBER87D,AAMBER,87,D,,RMT8,8,4.5,DO,19-Mar-87,1987,3,19,20:46:00,,N,-66.0867,73.0433,200,867,-2438,262,0.26,2,32,1,Hosie et al (1991) ANARE Research Notes 79,
23,AAMBER88S,AAMBER,88,S,,RMT8,8,4.5,DO,20-Mar-87,1987,3,20,08:49:00,,D,-66.0001,77.9867,0,200,-3108,170,-0.6,2,36,1,Hosie et al (1991) ANARE Research Notes 79,
24,AAMBER90S,AAMBER,90,S,,RMT8,8,4.5,DO,21-Mar-87,1987,3,21,04:21:00,,D,-65.06,82.715,0,200,-3286,187,-0.61,2,44.95,150,Hosie et al (1991) ANARE Research Notes 79,
25,AAMBER91S,AAMBER,91,S,,RMT8,8,4.5,DO,21-Mar-87,1987,3,21,09:49:00,,D,-64.3267,82.9667,0,200,-3607,121,0.11,2,44,12,Hosie et al (1991) ANARE Research Notes 79,
26,AAMBER92S,AAMBER,92,S,,RMT8,8,4.5,DO,22-Mar-87,1987,3,22,23:06:00,,N,-61.8167,87.9217,0,212,-3820,219,1.31,2,41.11,9,Hosie et al (1991) ANARE Research Notes 79,
27,AAMBER93S,AAMBER,93,S,,RMT8,8,4.5,DO,23-Mar-87,1987,3,23,04:30:00,,D,-62.6617,87.9733,0,200,-3742,209,1.06,2,37.5,4,Hosie et al (1991) ANARE Research Notes 79,
